,event,age,height,weight,VR_exp,sport_fre,personality,familiarity,cut_mean,speed_mean,space_max,space_mean,cut_mean_reverse,speed_mean_reverse,space_max_reverse,space_mean_reverse
0,1,0,2,1,0,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1,2,0,2,1,0,1,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2,3,0,2,1,0,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
3,4,0,2,1,0,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
4,1,0,2,0,0,0,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
5,2,0,2,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
6,3,0,2,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
7,4,0,2,0,0,0,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
8,1,1,1,0,1,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
9,2,1,1,0,1,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
10,3,1,1,0,1,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
11,4,1,1,0,1,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
12,1,1,1,0,1,1,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
13,2,1,1,0,1,1,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
14,3,1,1,0,1,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
15,4,1,1,0,1,1,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
16,1,1,2,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
17,2,1,2,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
18,3,1,2,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
19,4,1,2,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
20,1,1,0,1,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
21,2,1,0,1,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
22,3,1,0,1,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
23,4,1,0,1,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
24,1,1,2,1,0,0,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
25,2,1,2,1,0,0,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
26,3,1,2,1,0,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
27,4,1,2,1,0,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
28,1,1,2,3,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
29,2,1,2,3,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
30,3,1,2,3,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
31,4,1,2,3,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
32,1,1,3,2,1,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
33,2,1,3,2,1,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
34,3,1,3,2,1,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
35,4,1,3,2,1,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
36,1,1,2,2,0,1,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
37,2,1,2,2,0,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
38,3,1,2,2,0,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
39,4,1,2,2,0,1,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
40,1,1,3,3,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
41,2,1,3,3,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
42,3,1,3,3,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
43,4,1,3,3,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
44,1,0,0,0,1,1,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
45,2,0,0,0,1,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
46,3,0,0,0,1,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
47,4,0,0,0,1,1,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
48,1,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
49,2,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
50,3,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
51,4,0,1,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
52,1,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
53,2,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
54,3,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
55,4,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
56,1,1,2,2,1,0,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
57,2,1,2,2,1,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
58,3,1,2,2,1,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
59,4,1,2,2,1,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
60,1,1,2,1,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
61,2,1,2,1,0,1,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
62,3,1,2,1,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
63,4,1,2,1,0,1,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
64,1,0,2,2,1,0,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
65,2,0,2,2,1,0,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
66,3,0,2,2,1,0,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
67,4,0,2,2,1,0,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
68,1,0,1,0,0,1,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
69,2,0,1,0,0,1,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
70,3,0,1,0,0,1,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
71,4,0,1,0,0,1,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
72,1,0,2,2,1,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
73,2,0,2,2,1,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
74,3,0,2,2,1,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
75,4,0,2,2,1,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
76,1,1,1,2,1,0,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
77,2,1,1,2,1,0,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
78,3,1,1,2,1,0,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
79,4,1,1,2,1,0,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
80,1,1,1,1,1,0,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
81,2,1,1,1,1,0,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
82,3,1,1,1,1,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
83,4,1,1,1,1,0,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
84,1,1,1,0,0,1,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
85,2,1,1,0,0,1,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
86,3,1,1,0,0,1,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
87,4,1,1,0,0,1,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
88,1,1,3,2,1,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
89,2,1,3,2,1,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
90,3,1,3,2,1,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
91,4,1,3,2,1,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
92,1,0,2,1,1,0,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
93,2,0,2,1,1,0,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
94,3,0,2,1,1,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
95,4,0,2,1,1,0,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
96,1,0,2,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
97,2,0,2,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
98,3,0,2,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
99,4,0,2,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
100,1,1,2,2,0,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
101,2,1,2,2,0,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
102,3,1,2,2,0,0,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
103,4,1,2,2,0,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
104,1,0,3,3,0,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
105,2,0,3,3,0,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
106,3,0,3,3,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
107,4,0,3,3,0,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
108,1,0,1,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
109,2,0,1,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
110,3,0,1,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
111,4,0,1,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
112,1,0,3,3,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
113,2,0,3,3,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
114,3,0,3,3,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
115,4,0,3,3,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
116,1,0,1,1,0,0,0,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
117,2,0,1,1,0,0,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
118,3,0,1,1,0,0,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
119,4,0,1,1,0,0,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
120,1,0,2,1,1,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
121,2,0,2,1,1,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
122,3,0,2,1,1,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
123,4,0,2,1,1,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
124,1,1,2,2,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
125,2,1,2,2,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
126,3,1,2,2,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
127,4,1,2,2,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
128,1,1,1,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
129,2,1,1,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
130,3,1,1,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
131,4,1,1,1,0,0,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
132,1,0,0,0,1,0,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
133,2,0,0,0,1,0,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
134,3,0,0,0,1,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
135,4,0,0,0,1,0,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
136,1,0,2,1,0,1,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
137,2,0,2,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
138,3,0,2,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
139,4,0,2,1,0,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
140,1,0,1,1,0,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
141,2,0,1,1,0,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
142,3,0,1,1,0,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
143,4,0,1,1,0,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
144,1,0,3,2,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
145,2,0,3,2,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
146,3,0,3,2,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
147,4,0,3,2,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
148,1,0,2,2,0,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
149,2,0,2,2,0,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
150,3,0,2,2,0,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
151,4,0,2,2,0,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
152,1,1,3,1,1,0,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
153,2,1,3,1,1,0,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
154,3,1,3,1,1,0,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
155,4,1,3,1,1,0,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
156,1,1,1,1,0,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
157,2,1,1,1,0,0,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
158,3,1,1,1,0,0,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
159,4,1,1,1,0,0,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
160,1,1,0,0,1,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
161,2,1,0,0,1,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
162,3,1,0,0,1,1,1,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
163,4,1,0,0,1,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
164,1,1,3,2,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
165,2,1,3,2,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
166,3,1,3,2,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
167,4,1,3,2,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
168,1,1,2,1,0,0,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
169,2,1,2,1,0,0,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
170,3,1,2,1,0,0,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
171,4,1,2,1,0,0,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
172,1,1,1,1,1,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
173,2,1,1,1,1,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
174,3,1,1,1,1,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
175,4,1,1,1,1,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
176,1,0,3,2,0,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
177,2,0,3,2,0,1,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
178,3,0,3,2,0,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
179,4,0,3,2,0,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
180,1,1,2,2,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
181,2,1,2,2,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
182,3,1,2,2,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
183,4,1,2,2,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
